Package,Debian,Fedora,Homebrew,NPM
bat,bat,?,bat,-
caffeine,-,-,caffeine,-
coreutils,coreutils,?,coreutils,-
curl,curl,?,-,-
dua,-,?,dua-cli,-
fd,fd-find,?,fd,-
firefox,-,-,firefox,-
fish,fish,?,fish,-
font-meslo-lg,?,?,font-meslo-lg,-
fortune,fortune,?,fortune,-
gh,-,?,gh,-
github,-,-,github,-
helix,hx,?,helix,-
jq,jq,?,jq,-
kitty,?,?,kitty,-
mas,-,-,mas,-
node,nodejs,?,node,-
npm,npm,?,-,-
npm-check-updates,-,?,npm-check-updates,npm-check-updates
ripgrep,ripgrep,?,ripgrep,-
sd,sd,?,sd,-
shellcheck,shellcheck,?,shellcheck,-
sort-package-json,node-sort-package-json,?,-,sort-package-json
stow,stow,?,stow,-
tree,tree,?,tree,-
tsx,tsx,?,-,tsx
typescript,node-typescript,?,typescript,typescript
typescript-language-server,-,?,typescript-language-server,typescript-language-server
vscode-langservers-extracted,-,?,-vscode-langservers-extracted,vscode-langservers-extracted@4.8.0
